# uiautomator dump（content-desc 抽取）：我的 → 收藏夹（#1237 ①a，设备 23049RAD8C）
# 文案在 content-desc，不在 text

‹  bounds=[89,133][118,226]
我的收藏  bounds=[161,145][919,214]
全部  bounds=[96,312][164,358]
课程  bounds=[250,312][318,358]
章节  bounds=[405,312][473,358]
帖子  bounds=[559,312][627,358]
资讯  bounds=[714,312][782,358]
题目  bounds=[868,312][936,358]
章  bounds=[121,486][167,548]
章节  bounds=[245,462][330,512]
内燃机·故障与维修  bounds=[347,460][863,514]
2026-09-20  bounds=[245,531][863,573]
移除  bounds=[916,496][978,538]
资讯  bounds=[245,675][330,725]
欢迎来到内容精选  bounds=[347,673][863,727]
2026-09-18  bounds=[245,744][863,786]
移除  bounds=[916,709][978,751]
课  bounds=[121,938][167,1000]
课程  bounds=[245,914][330,963]
内燃叉车动力装置（内燃机）  bounds=[347,885][863,992]
2026-09-18  bounds=[245,1009][863,1051]
移除  bounds=[916,947][978,989]
章  bounds=[121,1176][167,1238]
章节  bounds=[245,1152][330,1202]
内燃机·总体构造与工作原理  bounds=[347,1150][863,1204]
2026-09-18  bounds=[245,1221][863,1263]
移除  bounds=[916,1186][978,1228]
课  bounds=[121,1389][167,1451]
课程  bounds=[245,1365][330,1415]
叉车基础知识概述  bounds=[347,1363][863,1417]
2026-09-18  bounds=[245,1434][863,1476]
移除  bounds=[916,1399][978,1441]
课  bounds=[121,1601][167,1663]
课程  bounds=[245,1577][330,1627]
场（厂）内机动车辆基础  bounds=[347,1575][863,1629]
2026-09-17  bounds=[245,1646][863,1688]
移除  bounds=[916,1611][978,1653]
题  bounds=[121,1840][167,1902]
题目  bounds=[245,1816][330,1865]
叉车作业时可以载人行驶、站在货叉上作业。  bounds=[347,1787][863,1894]
2026-09-17  bounds=[245,1911][863,1953]
移除  bounds=[916,1849][978,1891]
帖  bounds=[121,2078][167,2140]
帖子  bounds=[245,2054][330,2104]
测试markdown渲染  bounds=[347,2052][863,2106]
2026-09-13  bounds=[245,2123][863,2165]
移除  bounds=[916,2088][978,2130]
帖  bounds=[121,2291][167,2353]
帖子  bounds=[245,2267][330,2317]
这是一个问题  bounds=[347,2265][863,2319]
2026-09-11  bounds=[245,2336][863,2378]
移除  bounds=[916,2301][978,2343]
