[75,133][104,226]	‹
[438,145][642,214]	练习记录
[143,284][178,353]	0
[99,362][223,403]	今日做题
[397,284][430,353]	2
[352,362][476,403]	累计做题
[609,284][724,353]	50%
[620,362][713,403]	正确率
[902,284][937,353]	0
[858,362][982,403]	连续天数
[74,506][148,556]	全部
[252,506][363,556]	单选题
[466,506][577,556]	多选题
[681,506][792,556]	判断题
[46,633][237,683]	共 2 条记录
[260,635][413,681]	对 1 · 错 1
[96,758][127,820]	✗
[181,766][272,816]	其他
[289,766][379,816]	练习
[397,772][550,810]	2026-09-17
[88,936][134,998]	✓
[181,944][272,994]	其他
[289,944][435,994]	顺序练习
[453,950][606,988]	2026-09-17
[454,1104][624,1150]	没有更多了
