[89,133][118,226]	‹
[161,145][861,214]	模拟考试
[894,149][1034,211]	89:23
[930,284][1045,330]	1 / 40
[65,370][83,416]	1
[163,370][182,416]	2
[260,370][280,416]	3
[358,370][378,416]	4
[456,370][476,416]	5
[554,370][574,416]	6
[653,370][671,416]	7
[749,370][770,416]	8
[847,370][867,416]	9
[937,370][973,416]	10
[1039,370][1067,416]	11
[35,456][1045,502]	已答 0 / 40
[84,569][223,628]	判断题
[246,569][344,628]	2分
[84,663][997,801]	车辆在车间、库房内行驶，可以不在通道标志线内行驶。
[224,967][353,1025]	上一题
[730,965][859,1023]	下一题
[494,1132][586,1194]	交卷
