[89,133][118,226]	‹
[161,145][861,214]	模拟考试
[894,149][1034,211]	89:16
[930,284][1045,330]	1 / 40
[0,370][8,416]	12
[72,370][106,416]	13
[170,370][204,416]	14
[268,370][302,416]	15
[366,370][400,416]	16
[465,370][497,416]	17
[562,370][597,416]	18
[660,370][694,416]	19
[754,370][795,416]	20
[856,370][889,416]	21
[951,370][989,416]	22
[1049,370][1080,416]	23
[35,456][1045,502]	已答 0 / 40
[84,569][223,628]	判断题
[246,569][344,628]	2分
[84,663][997,801]	车辆在车间、库房内行驶，可以不在通道标志线内行驶。
[224,967][353,1025]	上一题
[730,965][859,1023]	下一题
[494,1132][586,1194]	交卷
